target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.971347141266,1.0850298404693604, 0.9667632579803467, 0.9575909972190857, 0.9129983186721802, 0.9191146492958069, 0.8233605623245239, 1.049185872077942, 0.8793171048164368, 1.18524968624115, 0.9348613619804382,0.106864790951,13.0, 37.0, 50.0, 77.0, 97.0, 137.0, 160.0, 172.0, 204.0, 216.0
right,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.970081615448,0.9524363279342651, 0.8539418578147888, 0.9268999099731445, 0.9480151534080505, 1.1206027269363403, 0.9237952828407288, 0.9640182852745056, 0.9286730289459229, 0.9956592917442322, 1.0867739915847778,0.0795635180785,14.0, 39.0, 51.0, 82.0, 116.0, 140.0, 146.0, 182.0, 192.0, 222.0
central,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.935900878906,0.9258612394332886, 1.0680651664733887, 0.9668378829956055, 0.8411303758621216, 1.015602469444275, 0.8590932488441467, 1.003790020942688, 0.9137596487998962, 0.8677999377250671, 0.8970691561698914,0.0752797050013,4.0, 35.0, 63.0, 90.0, 105.0, 136.0, 145.0, 180.0, 206.0, 218.0
none,50,left,10.0,, , , 'space', , , 'space', , , 'space',0.869404872259,, , , 0.9050748348236084, , , 0.8772539496421814, , , 0.8258857727050781,0.0345760903854,10.0, 29.0, 54.0, 78.0, 101.0, 124.0, 158.0, 179.0, 211.0, 228.0
left,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.960998439789,0.9627057909965515, 0.8568010926246643, 0.9938958883285522, 0.9052849411964417, 1.004936933517456, 0.9046899676322937, 0.8535689115524292, 1.0842132568359375, 1.0795936584472656, 0.9642937779426575,0.0822909157515,1.0, 43.0, 60.0, 81.0, 115.0, 135.0, 148.0, 181.0, 196.0, 217.0
right,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.998697471619,0.9279993176460266, 0.978450357913971, 0.8475372791290283, 1.1796942949295044, 0.9631161093711853, 1.0643364191055298, 1.2438715696334839, 0.8994439244270325, 0.9316139817237854, 0.950911819934845,0.126199666001,9.0, 31.0, 62.0, 76.0, 104.0, 131.0, 154.0, 174.0, 199.0, 235.0
central,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.920924758911,0.9581906795501709, 1.0274899005889893, 0.9526454210281372, 0.8952715396881104, 0.857036292552948, 0.8321082592010498, 0.8950275778770447, 1.066530466079712, 0.8935716152191162, 0.8313762545585632,0.0795948687103,22.0, 38.0, 71.0, 85.0, 111.0, 122.0, 152.0, 183.0, 198.0, 225.0
none,50,right,10.0,, , , , 'space', 'space', , , , ,1.04903280735,, , , , 0.8806004524230957, 1.2174651622772217, , , , ,0.177543291078,18.0, 32.0, 67.0, 73.0, 100.0, 133.0, 155.0, 178.0, 207.0, 237.0
left,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.12799987793,1.065490484237671, 1.0640875101089478, 1.1121174097061157, 1.0436954498291016, 1.1051722764968872, 1.0783337354660034, 1.1075814962387085, 1.2040629386901855, 1.0765798091888428, 1.4228777885437012,0.11261489674,6.0, 27.0, 56.0, 93.0, 117.0, 127.0, 150.0, 177.0, 195.0, 239.0
right,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.04127817154,1.0490140914916992, 1.025049090385437, 0.9948268532752991, 1.0302897691726685, 1.1203701496124268, 0.9400165677070618, 1.0406038761138916, 1.0289428234100342, 1.1344165802001953, 1.0492520332336426,0.0557794386847,21.0, 44.0, 52.0, 74.0, 109.0, 138.0, 144.0, 185.0, 193.0, 232.0
central,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.0246421814,1.0712019205093384, 1.0093159675598145, 1.032863974571228, 0.8559659123420715, 0.845473051071167, 1.031151533126831, 0.9548240303993225, 1.3613195419311523, 1.088073492050171, 0.9962326884269714,0.143806499023,3.0, 47.0, 48.0, 87.0, 110.0, 121.0, 149.0, 187.0, 200.0, 221.0
none,200,left,10.0,, , , , , 'space', 'space', , , ,0.883377313614,, , , , , 0.8692377805709839, 0.8975169062614441, , , ,0.0149044079034,20.0, 46.0, 58.0, 80.0, 99.0, 143.0, 161.0, 168.0, 197.0, 234.0
left,200,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.0419711113,1.0784090757369995, 0.8161563873291016, 1.1175963878631592, 0.9954886436462402, 0.8732323050498962, 1.0727746486663818, 1.0841032266616821, 1.1077739000320435, 1.1993892192840576, 1.0747876167297363,0.116229641284,19.0, 45.0, 55.0, 89.0, 112.0, 129.0, 165.0, 170.0, 209.0, 238.0
right,200,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.00884532928,1.0880776643753052, 1.1199816465377808, 0.9098523855209351, 0.8108212351799011, 1.0346626043319702, 1.0189685821533203, 0.8906034231185913, 1.0884135961532593, 1.044110655784607, 1.0829613208770752,0.102988824402,15.0, 42.0, 61.0, 95.0, 108.0, 130.0, 167.0, 176.0, 194.0, 227.0
central,200,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.0088057518,1.0602076053619385, 1.2060163021087646, 0.9792037010192871, 0.7835710048675537, 0.9757649898529053, 0.9888741970062256, 1.0375574827194214, 1.0380445718765259, 1.010396957397461, 1.008420705795288,0.103448502482,12.0, 34.0, 64.0, 91.0, 98.0, 120.0, 157.0, 184.0, 202.0, 233.0
none,200,right,10.0,, , , , , , 'space', 'space', , ,0.894014418125,, , , , , , 0.8565239310264587, 0.9315049052238464, , ,0.0395184432737,17.0, 26.0, 65.0, 72.0, 96.0, 125.0, 151.0, 190.0, 213.0, 220.0
left,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.20707836151,1.1798299551010132, 1.266122579574585, 1.2167553901672363, 1.2499828338623047, 1.2736018896102905, 0.9132183194160461, 1.3157304525375366, 1.2098006010055542, 1.2275292873382568, 1.2182121276855469,0.110200386514,5.0, 36.0, 57.0, 84.0, 113.0, 132.0, 162.0, 189.0, 203.0, 229.0
right,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.2075843811,1.154192328453064, 1.2493703365325928, 1.199440836906433, 1.2659438848495483, 1.0586464405059814, 1.2109442949295044, 1.2809427976608276, 1.2283053398132324, 1.212530493736267, 1.215526819229126,0.0633868960174,16.0, 33.0, 59.0, 86.0, 119.0, 141.0, 159.0, 186.0, 210.0, 226.0
central,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.15775947571,1.199180245399475, 1.1953791379928589, 0.8944361805915833, 1.170530915260315, 1.2062017917633057, 1.1362662315368652, 1.2440252304077148, 1.218250036239624, 1.1833831071853638, 1.129941701889038,0.0988675272377,11.0, 28.0, 53.0, 88.0, 103.0, 123.0, 166.0, 175.0, 212.0, 219.0
none,350,left,10.0,, , , 'space', , , , , , ,0.880338191986,, , , 0.880338191986084, , , , , , ,0.0,0.0, 25.0, 70.0, 92.0, 107.0, 142.0, 147.0, 191.0, 208.0, 230.0
left,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.06998701096,1.0945160388946533, 1.2271909713745117, 0.8734598159790039, 0.9418087601661682, 0.849678635597229, 1.1903138160705566, 1.2327877283096313, 1.2543859481811523, 0.8678222894668579, 1.1679058074951172,0.168109550247,7.0, 40.0, 49.0, 79.0, 114.0, 139.0, 164.0, 173.0, 205.0, 223.0
right,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.16278038025,1.1622750759124756, 1.2623440027236938, 0.8631055951118469, 1.2596927881240845, 1.163080096244812, 1.237146019935608, 1.2026798725128174, 1.1768876314163208, 1.1859463453292847, 1.1146467924118042,0.115125529715,2.0, 24.0, 66.0, 75.0, 102.0, 134.0, 156.0, 169.0, 214.0, 224.0
central,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.15035943985,1.1229734420776367, 1.1212546825408936, 1.2115187644958496, 1.0674772262573242, 0.8975850343704224, 1.2650033235549927, 1.1757166385650635, 1.2052301168441772, 1.2919979095458984, 1.1448372602462769,0.112047040476,23.0, 41.0, 69.0, 83.0, 118.0, 128.0, 153.0, 188.0, 215.0, 231.0
none,350,right,10.0,, , , 'space', 'space', , , , , ,0.861606001854,, , , 0.8677558898925781, 0.8554561138153076, , , , , ,0.0064825511857,8.0, 30.0, 68.0, 94.0, 106.0, 126.0, 163.0, 171.0, 201.0, 236.0

extraInfo
date,2014_II_03_1621
frameRate,306.103609575
expName,ior
session,001
participant,2014-02-03MS0
